2024-10-21 15:37:25.885 INFO  <ModalContext> [/Transformation 1.ktr]  Expedindo in�cio para transforma��o [/Transformation 1]
2024-10-21 15:44:58.126 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 15:44:58.139 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 15:44:58.170 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - dummy> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 22:33:31.226 INFO  <ModalContext> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Expedindo in�cio para transforma��o [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1]
2024-10-21 22:33:31.281 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 22:33:31.289 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 22:33:31.321 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - dummy> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 22:33:51.571 INFO  <Thread-27> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 22:34:32.647 INFO  <ModalContext> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Expedindo in�cio para transforma��o [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1]
2024-10-21 22:34:32.654 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 22:34:32.655 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 22:34:32.687 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - dummy> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 22:58:41.190 INFO  <ModalContext> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Expedindo in�cio para transforma��o [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1]
2024-10-21 22:58:41.255 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 22:58:41.269 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 22:58:41.300 INFO  <C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1 - dummy> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr : Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
2024-10-21 23:05:31.950 INFO  <Thread-33> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Expedindo in�cio para transforma��o [Transformation 1]
2024-10-21 23:05:31.964 INFO  <Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Header row skipped in file 'C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\riaa.csv'
2024-10-21 23:05:31.964 INFO  <Transformation 1 - CSV file input> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Finished processing (I=31, O=0, R=0, W=30, U=0, E=0)
2024-10-21 23:05:31.996 INFO  <Transformation 1 - Sort rows 2> [C:\Users\lxstm\OneDrive - Instituto Politécnico do Cávado e do Ave\LESI\3º ano\S1\Integração de Sistemas de Informação\Transformation 1.ktr]  Finished processing (I=0, O=0, R=30, W=30, U=0, E=0)
